name,code,symbolCode,tradePrice,change,changePrice,changeRate,accTradeVolume,accTradePrice,marketCap,foreignRatio
우리기술투자,KR7041190000,A041190,7230.0,FALL,30.0,-0.0041322314,487145,3494819310,607320000000.0,5.570
한글과컴퓨터,KR7030520001,A030520,24050.0,FALL,100.0,-0.0041407867,93109,2229065900,599164648550.0,7.300
정상제이엘에스,KR7040420002,A040420,7190.0,FALL,30.0,-0.0041551247,11004,78901130,112721598880.0,3.920
에스텍,KR7069510006,A069510,11950.0,FALL,50.0,-0.0041666667,6488,77181550,130374500000.0,55.510
자연과환경,KR7043910009,A043910,2375.0,FALL,10.0,-0.0041928721,1887371,4540561475,146288771000.0,3.340
아이에스이커머스,KR7069920007,A069920,3560.0,FALL,15.0,-0.0041958042,7846,27768530,91941848720.0,0.600
오리엔트정공,KR7065500001,A065500,943.0,FALL,4.0,-0.0042238648,420070,394140794,110533331966.0,0.200
원익피앤이,KR7131390007,A131390,23550.0,FALL,100.0,-0.0042283298,130364,3048499900,348985330500.0,2.650
디앤씨미디어,KR7263720005,A263720,47050.0,FALL,200.0,-0.0042328042,43208,2029706800,577543972550.0,0.930
파멥신,KR7208340000,A208340,11650.0,FALL,50.0,-0.0042735043,22840,263670850,165931287850.0,0.000
파워로직스,KR7047310008,A047310,9120.0,FALL,40.0,-0.0043668122,338053,3077810140,313919355840.0,3.320
대봉엘에스,KR7078140001,A078140,11400.0,FALL,50.0,-0.0043668122,25243,285011000,126387000600.0,2.510
비트컴퓨터,KR7032850000,A032850,11300.0,FALL,50.0,-0.0044052863,185922,2113856500,187843210900.0,3.050
비츠로테크,KR7042370007,A042370,11300.0,FALL,50.0,-0.0044052863,126778,1428145950,274329523700.0,0.490
네오크레마,KR7311390009,A311390,11250.0,FALL,50.0,-0.0044247788,29363,330223600,82304943750.0,5.410
비아트론,KR7141000000,A141000,11150.0,FALL,50.0,-0.0044642857,31494,348924550,135079016500.0,2.520
선광,KR7003100005,A003100,44350.0,FALL,200.0,-0.0044893378,10119,449312350,292710000000.0,6.020
미래에셋대우스팩 5호,KR7353490006,A353490,2195.0,FALL,10.0,-0.0045351474,25065,55004750,11106700000.0,0.300
DB금융스팩9호,KR7367360005,A367360,2190.0,FALL,10.0,-0.0045454545,53443,116936625,10599600000.0,1.180
KH 일렉트론,KR7111870002,A111870,1090.0,FALL,5.0,-0.00456621,189954,205427870,110152092940.0,1.570
YBM넷,KR7057030009,A057030,8710.0,FALL,40.0,-0.0045714286,189462,1651850760,142083590870.0,0.780
동원개발,KR7013120001,A013120,6440.0,FALL,30.0,-0.0046367852,89374,572083800,584804164000.0,13.070
미래에셋벤처투자,KR7100790005,A100790,8580.0,FALL,40.0,-0.0046403712,134913,1156828790,396360161340.0,1.130
에스티팜,KR7237690003,A237690,105700.0,FALL,500.0,-0.0047080979,37968,4009902400,1971939200000.0,0.000
나라엠앤디,KR7051490001,A051490,10550.0,FALL,50.0,-0.0047169811,64624,678604700,149810000000.0,0.560
재영솔루텍,KR7049630007,A049630,1050.0,FALL,5.0,-0.0047393365,318344,332515340,77233298100.0,2.490
라닉스,KR7317120004,A317120,10500.0,FALL,50.0,-0.0047393365,20921,217929900,101330250000.0,0.800
네이처셀,KR7007390008,A007390,31350.0,FALL,150.0,-0.0047619048,275009,8599854750,1923524864250.0,6.120
한양디지텍,KR7078350006,A078350,8250.0,FALL,40.0,-0.0048250905,44940,369226760,125766151500.0,3.010
성광벤드,KR7014620009,A014620,10300.0,FALL,50.0,-0.0048309179,153559,1559124800,294580000000.0,8.340
케이엠,KR7083550004,A083550,10250.0,FALL,50.0,-0.0048543689,24155,248897100,110239918500.0,2.250
젠큐릭스,KR7229000005,A229000,20450.0,FALL,100.0,-0.00486618,23444,474040700,134033758100.0,0.640
세종메디칼,KR7258830009,A258830,10150.0,FALL,50.0,-0.0049019608,8583,86508900,68794071150.0,1.210
지엔씨에너지,KR7119850006,A119850,6060.0,FALL,30.0,-0.0049261084,509655,3106332640,99680388540.0,1.470
바이넥스,KR7053030003,A053030,20050.0,FALL,100.0,-0.0049627792,93188,1865377750,636809012400.0,6.170
인탑스,KR7049070006,A049070,30000.0,FALL,150.0,-0.0049751244,40810,1213686300,516000000000.0,21.510
윈텍,KR7320000003,A320000,2995.0,FALL,15.0,-0.0049833887,74317,220446275,55404948260.0,0.720
원익큐브,KR7014190003,A014190,3970.0,FALL,20.0,-0.0050125313,326155,1308986700,140537626820.0,3.330
케이프,KR7064820004,A064820,4945.0,FALL,25.0,-0.0050301811,27688,136231850,152809044960.0,1.380
